Nom de la commune,Populationtotal,Population_string
Sénoville,209,209
Servon,282,282
Sideville,757,757
Siouville-Hague,1067,1067
Sortosville,88,88
Sortosville-en-Beaumont,321,321
Sottevast,1414,1414
Sotteville,479,479
Sourdeval,3236,3236
Subligny,396,396
Surtainville,1208,1208
Taillepied,22,22
Tamerville,682,682
Tanis,305,305
Le Tanu,402,402
Le Teilleul,1711,1711
Terre-et-Marais,1323,1323
Tessy-Bocage,2407,2407
Teurthéville-Bocage,599,599
Teurthéville-Hague,1080,1080
Thèreval,1844,1844
Théville,342,342
Tirepied-sur-Sée,970,970
Tocqueville,283,283
Tollevast,1566,1566
Torigny-les-Villes,4408,4408
Tourville-sur-Sienne,809,809
Tréauville,748,748
Tribehou,538,538
La Trinité,401,401
Turqueville,141,141
Urville,216,216
Vains,789,789
Le Val-Saint-Père,2124,2124
Valcanville,426,426
Valognes,7070,7070
Varenguebec,325,325
Varouville,272,272
Le Vast,334,334
Vaudreville,73,73
La Vendelée,487,487
Ver,384,384
Vernix,162,162
Vesly,729,729
Le Vicel,121,121
Vicq-sur-Mer,1046,1046
Videcosville,82,82
Villebaudon,313,313
Villedieu-les-Poêles-Rouffigny,3960,3960
Villiers-Fossard,658,658
Virandeville,808,808
Yquelon,1133,1133
Yvetot-Bocage,1175,1175
Ablancourt,163,163
Aigny,280,280
Allemanche-Launay-et-Soyer,115,115
Allemant,167,167
Alliancelles,146,146
Ambonnay,995,995
Ambrières,237,237
Anglure,897,897
Angluzelles-et-Courcelles,150,150
Anthenay,71,71
Aougny,104,104
Arcis-le-Ponsart,322,322
Argers,118,118
Arrigny,248,248
Arzillières-Neuville,333,333
Athis,907,907
Aubérive,246,246
Aubilly,56,56
Aulnay-l'Aître,186,186
Aulnay-sur-Marne,265,265
Auménancourt,1056,1056
Auve,319,319
Avenay-Val-d'Or,1037,1037
Avize,1900,1900
Aÿ-Champagne,5684,5684
Baconnes,280,280
Bagneux,456,456
Le Baizil,256,256
Bannay,19,19
Bannes,276,276
Barbonne-Fayel,508,508
Baslieux-lès-Fismes,329,329
Baslieux-sous-Châtillon,197,197
Bassu,108,108
Bassuet,264,264
Baudement,115,115
Baye,418,418
Bazancourt,2238,2238
Beaumont-sur-Vesle,838,838
Beaunay,106,106
Beine-Nauroy,1025,1025
Belval-en-Argonne,50,50
Belval-sous-Châtillon,153,153
Bergères-lès-Vertus,619,619
Bergères-sous-Montmirail,125,125
Berméricourt,207,207
Berru,578,578
Berzieux,81,81
Bétheniville,1288,1288
Bétheny,7075,7075
Bethon,289,289
Bettancourt-la-Longue,80,80
Bezannes,2179,2179
Bignicourt-sur-Marne,355,355
Bignicourt-sur-Saulx,192,192
Billy-le-Grand,123,123
Binarville,102,102
Binson-et-Orquigny,171,171
Blacy,669,669
Blaise-sous-Arzillières,348,348
Blancs-Coteaux,3501,3501
Blesme,216,216
Bligny,123,123
Boissy-le-Repos,221,221
Bouchy-Saint-Genest,200,200
Bouilly,206,206
Bouleuse,215,215
Boult-sur-Suippe,1731,1731
Bourgogne-Fresne,1428,1428
Boursault,460,460
Bouvancourt,200,200
Bouy,580,580
Bouzy,946,946
Brandonvillers,185,185
Branscourt,314,314
Braux-Saint-Remy,87,87
Braux-Sainte-Cohière,102,102
Bréban,82,82
Le Breuil,391,391
Breuil-sur-Vesle,353,353
Breuvery-sur-Coole,225,225
Brimont,439,439
Brouillet,81,81
Broussy-le-Grand,324,324
Broussy-le-Petit,132,132
Broyes,365,365
Brugny-Vaudancourt,464,464
Brusson,191,191
Le Buisson,95,95
Bussy-le-Château,175,175
Bussy-le-Repos,139,139
Bussy-Lettrée,351,351
La Caure,105,105
Caurel,663,663
Cauroy-lès-Hermonville,499,499
La Celle-sous-Chantemerle,144,144
Cernay-en-Dormois,154,154
Cernay-lès-Reims,1449,1449
Cernon,133,133
Chaintrix-Bierges,332,332
Châlons-en-Champagne,45997,45997
Châlons-sur-Vesle,194,194
Chaltrait,59,59
Chambrecy,156,156
Chamery,422,422
Champaubert,125,125
Champfleury,555,555
Champguyon,277,277
Champigneul-Champagne,319,319
Champigny,1515,1515
Champillon,513,513
Champlat-et-Boujacourt,165,165
Champvoisy,255,255
Changy,123,123
Chantemerle,49,49
Chapelaine,50,50
La Chapelle-Felcourt,54,54
La Chapelle-Lasson,87,87
La Chapelle-sous-Orbais,56,56
Charleville,247,247
Charmont,232,232
Les Charmontois,119,119
Le Châtelier,60,60
Châtelraould-Saint-Louvent,241,241
Châtillon-sur-Broué,77,77
Châtillon-sur-Marne,758,758
Châtillon-sur-Morin,220,220
Châtrices,36,36
Chaudefontaine,333,333
Chaumuzy,379,379
La Chaussée-sur-Marne,796,796
Chavot-Courcourt,354,354
Le Chemin,50,50
Cheminon,618,618
Chenay,233,233
Cheniers,111,111
La Cheppe,345,345
Cheppes-la-Prairie,178,178
Chepy,442,442
Cherville,82,82
Chichey,177,177
Chigny-les-Roses,570,570
Chouilly,1049,1049
Clamanges,216,216
Clesles,633,633
Cloyes-sur-Marne,130,130
Coizard-Joches,76,76
Compertrix,1537,1537
Condé-sur-Marne,821,821
Conflans-sur-Seine,648,648
Congy,264,264
Connantray-Vaurefroy,163,163
Connantre,1115,1115
Contault,68,68
Coole,146,146
Coolus,230,230
Corbeil,93,93
Corfélix,114,114
Cormicy,1502,1502
Cormontreuil,6614,6614
Cormoyeux,120,120
Corribert,60,60
Corrobert,212,212
Corroy,168,168
Coulommes-la-Montagne,212,212
Coupetz,80,80
Coupéville,162,162
Courcelles-Sapicourt,383,383
Courcemain,107,107
Courcy,1070,1070
Courdemanges,404,404
Courgivaux,338,338
Courjeonnet,46,46
Courlandon,292,292
Courmas,216,216
Courtagnon,63,63
Courtémont,62,62
Courthiézy,365,365
Courtisols,2519,2519
Courville,461,461
Couvrot,871,871
Cramant,907,907
La Croix-en-Champagne,80,80
Crugny,652,652
Cuchery,415,415
Cuis,399,399
Cuisles,137,137
Cumières,772,772
Cuperly,230,230
Damery,1464,1464
Dampierre-au-Temple,279,279
Dampierre-le-Château,108,108
Dampierre-sur-Moivre,115,115
Dizy,1561,1561
Dommartin-Dampierre,69,69
Dommartin-Lettrée,154,154
Dommartin-sous-Hans,59,59
Dommartin-Varimont,146,146
Dompremy,149,149
Dontrien,274,274
Dormans,2976,2976
Drosnay,217,217
Drouilly,136,136
Éclaires,100,100
Écollemont,53,53
Écriennes,176,176
Écueil,306,306
Écury-le-Repos,60,60
Écury-sur-Coole,515,515
Élise-Daucourt,96,96
Épense,130,130
Épernay,23120,23120
L' Épine,659,659
Époye,436,436
Escardes,81,81
Esclavolles-Lurey,608,608
Les Essarts-le-Vicomte,145,145
Les Essarts-lès-Sézanne,265,265
Esternay,1902,1902
Étoges,477,477
Étréchy,111,111
Étrepy,140,140
Euvy,84,84
Fagnières,4942,4942
Faux-Fresnay,326,326
Faux-Vésigneul,250,250
Faverolles-et-Coëmy,574,574
Favresse,230,230
Fère-Champenoise,2188,2188
Fèrebrianges,154,154
Festigny,404,404
Fismes,5536,5536
Flavigny,170,170
Fleury-la-Rivière,523,523
Florent-en-Argonne,240,240
Fontaine-Denis-Nuisy,235,235
Fontaine-en-Dormois,13,13
Fontaine-sur-Ay,351,351
La Forestière,231,231
Francheville,211,211
Le Fresne,77,77
Frignicourt,1914,1914
Fromentières,384,384
Le Gault-Soigny,544,544
Gaye,600,600
Germaine,529,529
Germigny,182,182
Germinon,178,178
Giffaumont-Champaubert,273,273
Gigny-Bussy,233,233
Givry-en-Argonne,453,453
Givry-lès-Loisy,76,76
Gizaucourt,118,118
Glannes,192,192
Gourgançon,156,156
Les Grandes-Loges,279,279
Granges-sur-Aube,185,185
Gratreuil,28,28
Grauves,632,632
Gueux,1738,1738
Hans,152,152
Haussignémont,287,287
Haussimont,145,145
Hauteville,249,249
Hautvillers,713,713
Heiltz-l'Évêque,306,306
Heiltz-le-Hutier,242,242
Heiltz-le-Maurupt,428,428
Hermonville,1448,1448
Herpont,141,141
Heutrégiville,450,450
Hourges,82,82
Huiron,304,304
Humbauville,80,80
Igny-Comblizy,415,415
Isle-sur-Marne,101,101
Isles-sur-Suippe,912,912
Isse,123,123
Les Istres-et-Bury,98,98
Jâlons,571,571
Janvilliers,171,171
Janvry,133,133
Joiselle,103,103
Jonchery-sur-Suippe,225,225
Jonchery-sur-Vesle,1910,1910
Jonquery,118,118
Jouy-lès-Reims,222,222
Jussecourt-Minecourt,210,210
Juvigny,953,953
Lachy,336,336
Lagery,220,220
Landricourt,150,150
Larzicourt,284,284
Laval-sur-Tourbe,58,58
Lavannes,608,608
Lenharrée,98,98
Leuvrigny,347,347
Lhéry,86,86
Lignon,127,127
Linthelles,114,114
Linthes,117,117
Lisse-en-Champagne,124,124
Livry-Louvercy,1116,1116
Loisy-en-Brie,202,202
Loisy-sur-Marne,1121,1121
Loivre,1300,1300
Ludes,647,647
Luxémont-et-Villotte,460,460
Maffrécourt,58,58
Magenta,1725,1725
Magneux,282,282
Mailly-Champagne,678,678
Mairy-sur-Marne,558,558
Maisons-en-Champagne,545,545
Malmy,35,35
Mancy,258,258
Marcilly-sur-Seine,654,654
Mardeuil,1523,1523
Mareuil-en-Brie,277,277
Mareuil-le-Port,1184,1184
Marfaux,124,124
Margerie-Hancourt,186,186
Margny,127,127
Marigny,108,108
Marolles,912,912
Marsangis,49,49
Marson,298,298
Massiges,49,49
Matignicourt-Goncourt,150,150
Matougues,606,606
Maurupt-le-Montois,592,592
Mécringes,207,207
Le Meix-Saint-Epoing,284,284
Le Meix-Tiercelin,176,176
Merfy,625,625
Merlaut,243,243
Méry-Prémecy,62,62
Les Mesneux,881,881
Le Mesnil-sur-Oger,1124,1124
Minaucourt-le-Mesnil-lès-Hurlus,53,53
Moiremont,209,209
Moivre,63,63
Moncetz-l'Abbaye,99,99
Moncetz-Longevas,544,544
Mondement-Montgivroux,29,29
Mont-sur-Courville,131,131
Montbré,282,282
Montépreux,45,45
Montgenost,157,157
Monthelon,359,359
Montigny-sur-Vesle,524,524
Montmirail,3648,3648
Montmort-Lucy,617,617
Morangis,396,396
Morsains,136,136
Moslins,311,311
Mourmelon-le-Grand,5132,5132
Mourmelon-le-Petit,826,826
Moussy,774,774
Muizon,2225,2225
Mutigny,193,193
Mœurs-Verdey,327,327
Nanteuil-la-Forêt,289,289
Nesle-la-Reposte,107,107
Nesle-le-Repons,153,153
La Neuville-au-Pont,557,557
La Neuville-aux-Bois,145,145
La Neuville-aux-Larris,172,172
Neuvy,262,262
Nogent-l'Abbesse,542,542
Noirlieu,112,112
Norrois,150,150
La Noue,412,412
Nuisement-sur-Coole,367,367
Ognes,65,65
Oiry,850,850
Olizy,165,165
Omey,211,211
Orbais-l'Abbaye,564,564
Orconte,389,389
Ormes,439,439
Outines,139,139
Outrepont,86,86
Oyes,89,89
Pargny-lès-Reims,472,472
Pargny-sur-Saulx,1876,1876
Passavant-en-Argonne,210,210
Passy-Grigny,394,394
Péas,70,70
Les Petites-Loges,489,489
Pévy,207,207
Pierre-Morains,93,93
Pierry,1207,1207
Pleurs,875,875
Plichancourt,247,247
Plivot,769,769
Pocancy,170,170
Pogny,934,934
Poilly,99,99
Poix,72,72
Pomacle,461,461
Pontfaverger-Moronvilliers,1771,1771
Ponthion,110,110
Possesse,159,159
Potangis,131,131
Pouillon,502,502
Pourcy,194,194
Pringy,425,425
Prosnes,492,492
Prouilly,564,564
Prunay,1058,1058
Puisieulx,423,423
Queudes,102,102
Rapsécourt,37,37
Recy,1061,1061
Reims,185576,185576
Reims-la-Brûlée,231,231
Remicourt,58,58
Reuil,296,296
Reuves,71,71
Réveillon,107,107
Rieux,203,203
Rilly-la-Montagne,1009,1009
Les Rivières-Henruel,183,183
Romain,333,333
Romery,159,159
Romigny,218,218
Rosnay,363,363
Rouffy,119,119
Rouvroy-Ripont,8,8
Sacy,374,374
Saint-Amand-sur-Fion,1041,1041
Saint-Bon,117,117
Saint-Brice-Courcelles,3573,3573
Saint-Chéron,63,63
Saint-Étienne-au-Temple,824,824
Saint-Étienne-sur-Suippe,320,320
Saint-Eulien,452,452
Saint-Euphraise-et-Clairizet,239,239
Saint-Germain-la-Ville,684,684
Saint-Gibrien,545,545
Saint-Gilles,297,297
Saint-Hilaire-au-Temple,348,348
Saint-Hilaire-le-Grand,367,367
Saint-Hilaire-le-Petit,346,346
Saint-Imoges,345,345
Saint-Jean-devant-Possesse,34,34
Saint-Jean-sur-Moivre,213,213
Saint-Jean-sur-Tourbe,95,95
Saint-Just-Sauvage,1500,1500
Saint-Léonard,109,109
Saint-Loup,88,88
Saint-Lumier-en-Champagne,268,268
Saint-Lumier-la-Populeuse,49,49
Saint-Mard-lès-Rouffy,170,170
Saint-Mard-sur-Auve,65,65
Saint-Mard-sur-le-Mont,118,118
Saint-Martin-aux-Champs,104,104
Saint-Martin-d'Ablois,1449,1449
Saint-Martin-l'Heureux,86,86
Saint-Martin-sur-le-Pré,829,829
Saint-Masmes,466,466
Saint-Memmie,5589,5589
Saint-Ouen-Domprot,211,211
Saint-Pierre,309,309
Saint-Quentin-le-Verger,123,123
Saint-Quentin-les-Marais,141,141
Saint-Quentin-sur-Coole,105,105
Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson,524,524
Saint-Remy-sous-Broyes,107,107
Saint-Remy-sur-Bussy,351,351
Saint-Saturnin,59,59
Saint-Souplet-sur-Py,129,129
Saint-Thierry,650,650
Saint-Thomas-en-Argonne,42,42
Saint-Utin,80,80
Saint-Vrain,235,235
Sainte-Gemme,142,142
Sainte-Marie-à-Py,203,203
Sainte-Marie-du-Lac-Nuisement,270,270
Sainte-Menehould,4234,4234
Sapignicourt,414,414
Sarcy,258,258
Saron-sur-Aube,310,310
Sarry,2132,2132
Saudoy,379,379
Savigny-sur-Ardres,274,274
Scrupt,132,132
Selles,406,406
Sept-Saulx,626,626
Sermaize-les-Bains,1941,1941
Sermiers,575,575
Servon-Melzicourt,109,109
Serzy-et-Prin,211,211
Sézanne,4942,4942
Sillery,1761,1761
Sivry-Ante,187,187
Sogny-aux-Moulins,113,113
Sogny-en-l'Angle,62,62
Soizy-aux-Bois,185,185
Somme-Bionne,88,88
Somme-Suippe,639,639
Somme-Tourbe,146,146
Somme-Vesle,675,675
Somme-Yèvre,120,120
Sommepy-Tahure,639,639
Sommesous,547,547
Sompuis,303,303
Somsois,202,202
Songy,267,267
Souain-Perthes-lès-Hurlus,243,243
Soudé,183,183
Soudron,306,306
Soulanges,479,479
Soulières,143,143
Suippes,3960,3960
Suizy-le-Franc,110,110
Taissy,2235,2235
Talus-Saint-Prix,112,112
Thaas,99,99
Thibie,293,293
Thiéblemont-Farémont,547,547
Thil,300,300
Thillois,517,517
Le Thoult-Trosnay,105,105
Tilloy-et-Bellay,229,229
Tinqueux,10169,10169
Togny-aux-Bœufs,139,139
Tours-sur-Marne,1396,1396
Tramery,154,154
Trécon,83,83
Tréfols,171,171
Trépail,436,436
Treslon,243,243
Trigny,552,552
Trois-Fontaines-l'Abbaye,203,203
Trois-Puits,155,155
Troissy,922,922
Unchair,170,170
Vadenay,247,247
Val de Livre,650,650
Val-de-Vesle,922,922
Val-de-Vière,131,131
Val-des-Marais,578,578
Valmy,299,299
Vanault-le-Châtel,179,179
Vanault-les-Dames,371,371
Vandeuil,199,199
Vandières,313,313
Vassimont-et-Chapelaine,62,62
Vatry,160,160
Vauchamps,370,370
Vauciennes,339,339
Vauclerc,515,515
Vaudemange,314,314
Vaudesincourt,93,93
Vavray-le-Grand,164,164
Vavray-le-Petit,69,69
Vélye,198,198
Ventelay,265,265
Venteuil,539,539
Verdon,211,211
Vernancourt,92,92
Verneuil,860,860
Verrières,408,408
Vert-Toulon,295,295
Verzenay,1060,1060
Verzy,997,997
Vésigneul-sur-Marne,240,240
La Veuve,625,625
Le Vézier,194,194
Le Vieil-Dampierre,118,118
Vienne-la-Ville,180,180
Vienne-le-Château,527,527
Ville-Dommange,409,409
Ville-en-Selve,325,325
Ville-en-Tardenois,663,663
La Ville-sous-Orbais,50,50
Ville-sur-Tourbe,220,220
Villeneuve-la-Lionne,288,288
La Villeneuve-lès-Charleville,114,114
Villeneuve-Renneville-Chevigny,322,322
Villeneuve-Saint-Vistre-et-Villevotte,128,128
Villers-Allerand,903,903
Villers-aux-Bois,331,331
Villers-aux-Nœuds,192,192
Villers-en-Argonne,238,238
Villers-Franqueux,313,313
Villers-le-Château,262,262
Villers-le-Sec,118,118
Villers-Marmery,535,535
Villers-sous-Châtillon,215,215
Villeseneux,226,226
Villevenard,217,217
Villiers-aux-Corneilles,113,113
Vinay,594,594
Vincelles,293,293
Vindey,118,118
Virginy,87,87
Vitry-en-Perthois,852,852
Vitry-la-Ville,386,386
Vitry-le-François,12416,12416
Voilemont,49,49
Vouarces,60,60
Vouillers,264,264
Vouzy,298,298
Vraux,468,468
Vrigny,232,232
Vroil,104,104
Wargemoulin-Hurlus,47,47
Warmeriville,2494,2494
Witry-lès-Reims,5075,5075
Œuilly,658,658
Ageville,317,317
Aigremont,20,20
Aillianville,167,167
Aingoulaincourt,13,13
Aizanville,38,38
Allichamps,351,351
Ambonville,84,84
Andelot-Blancheville,880,880
Andilly-en-Bassigny,109,109
Annéville-la-Prairie,86,86
Annonville,33,33
Anrosey,126,126
Aprey,193,193
Arbigny-sous-Varennes,89,89
Arbot,72,72
Arc-en-Barrois,756,756
Arnancourt,95,95
Attancourt,264,264
Aubepierre-sur-Aube,191,191
Auberive,174,174
Audeloncourt,89,89
Aujeurres,85,85
Aulnoy-sur-Aube,51,51
Autigny-le-Grand,151,151
Autigny-le-Petit,65,65
Autreville-sur-la-Renne,391,391
Avrecourt,118,118
Bailly-aux-Forges,148,148
Baissey,196,196
Bannes,377,377
Bassoncourt,67,67
Baudrecourt,92,92
Bay-sur-Aube,53,53
Bayard-sur-Marne,1349,1349
Beauchemin,105,105
Belmont,58,58
Bettancourt-la-Ferrée,1734,1734
Beurville,104,104
Biesles,1383,1383
Bize,93,93
Blaisy,76,76
Blécourt,114,114
Blessonville,202,202
Blumeray,116,116
Bologne,1937,1937
Bonnecourt,135,135
Bourbonne-les-Bains,2127,2127
Bourdons-sur-Rognon,287,287
Bourg,161,161
Bourg-Sainte-Marie,102,102
Bourmont-entre-Meuse-et-Mouzon,833,833
Bouzancourt,66,66
Brachay,64,64
Brainville-sur-Meuse,78,78
Braux-le-Châtel,146,146
Brennes,136,136
Brethenay,378,378
Breuvannes-en-Bassigny,698,698
Briaucourt,187,187
Bricon,463,463
Brousseval,703,703
Bugnières,158,158
Busson,39,39
Buxières-lès-Clefmont,28,28
Buxières-lès-Villiers,215,215
Ceffonds,651,651
Celles-en-Bassigny,84,84
Celsoy,106,106
Cerisières,90,90
Chalancey,107,107
Chalindrey,2448,2448
Chalvraines,189,189
Chamarandes-Choignes,1206,1206
Chambroncourt,50,50
Chamouilley,816,816
Champigneulles-en-Bassigny,45,45
Champigny-lès-Langres,439,439
Champigny-sous-Varennes,117,117
Champsevraine,750,750
Chancenay,1114,1114
Changey,315,315
Chanoy,129,129
Chantraines,227,227
Charmes,150,150
Charmes-en-l'Angle,10,10
Charmes-la-Grande,162,162
Chassigny,255,255
Châteauvillain,1601,1601
Le Châtelet-sur-Meuse,150,150
Chatenay-Mâcheron,107,107
Chatenay-Vaudin,54,54
Chatonrupt-Sommermont,304,304
Chaudenay,352,352
Chauffourt,208,208
Chaumont,23172,23172
Chaumont-la-Ville,117,117
Chevillon,1333,1333
Chézeaux,72,72
Choilley-Dardenay,166,166
Choiseul,82,82
Cirey-lès-Mareilles,143,143
Cirey-sur-Blaise,120,120
Cirfontaines-en-Azois,187,187
Cirfontaines-en-Ornois,78,78
Clefmont,179,179
Clinchamp,80,80
Cohons,238,238
Coiffy-le-Bas,92,92
Coiffy-le-Haut,116,116
Colmier-le-Bas,22,22
Colmier-le-Haut,60,60
Colombey les Deux Églises,736,736
Condes,310,310
Consigny,70,70
Coublanc,122,122
Coupray,148,148
Cour-l'Évêque,161,161
Courcelles-en-Montagne,90,90
Courcelles-sur-Blaise,99,99
Culmont,549,549
Curel,418,418
Curmont,13,13
Cusey,286,286
Cuves,26,26
Daillancourt,69,69
Daillecourt,74,74
Dammartin-sur-Meuse,200,200
Dampierre,391,391
Damrémont,201,201
Dancevoir,198,198
Darmannes,263,263
Dinteville,59,59
Domblain,82,82
Dommarien,168,168
Dommartin-le-Franc,250,250
Dommartin-le-Saint-Père,283,283
Domremy-Landéville,82,82
Doncourt-sur-Meuse,40,40
Donjeux,390,390
Doulaincourt-Saucourt,860,860
Doulevant-le-Château,376,376
Doulevant-le-Petit,29,29
Échenay,94,94
Éclaron-Braucourt-Sainte-Livière,2063,2063
Ecot-la-Combe,38,38
Effincourt,66,66
Enfonvelle,69,69
Épizon,172,172
Esnouveaux,301,301
Euffigneix,315,315
Eurville-Bienville,2097,2097
Farincourt,39,39
Faverolles,105,105
Fayl-Billot,1446,1446
Fays,76,76
Ferrière-et-Lafolie,52,52
Flagey,86,86
Flammerécourt,69,69
Fontaines-sur-Marne,150,150
Forcey,68,68
Foulain,714,714
Frampas,165,165
Frécourt,99,99
Fresnes-sur-Apance,150,150
Froncles,1545,1545
Fronville,326,326
Genevrières,137,137
La Genevroye,33,33
Germaines,42,42
Germainvilliers,93,93
Germay,47,47
Germisay,18,18
Giey-sur-Aujon,131,131
Gillancourt,123,123
Gillaumé,37,37
Gilley,70,70
Graffigny-Chemin,238,238
Grandchamp,75,75
Grenant,150,150
Gudmont-Villiers,296,296
Guindrecourt-aux-Ormes,95,95
Guindrecourt-sur-Blaise,59,59
Guyonvelle,108,108
Hâcourt,39,39
Hallignicourt,288,288
Harréville-les-Chanteurs,302,302
Haute-Amance,971,971
Heuilley-le-Grand,216,216
Huilliécourt,119,119
Humbécourt,790,790
Humberville,72,72
Humes-Jorquenay,585,585
Illoud,229,229
Is-en-Bassigny,555,555
Isômes,156,156
Joinville,3137,3137
Jonchery,1049,1049
Juzennecourt,216,216
Lachapelle-en-Blaisy,84,84
Lafauche,81,81
Laferté-sur-Amance,108,108
Laferté-sur-Aube,333,333
Lamancine,127,127
Laneuvelle,67,67
Laneuville-à-Rémy,66,66
Laneuville-au-Pont,212,212
Langres,8146,8146
Lanques-sur-Rognon,188,188
Lanty-sur-Aube,123,123
Larivière-Arnoncourt,118,118
Latrecey-Ormoy-sur-Aube,304,304
Lavernoy,76,76
Laville-aux-Bois,214,214
Lavilleneuve,61,61
Lavilleneuve-au-Roi,78,78
Lecey,213,213
Leffonds,358,358
Leschères-sur-le-Blaiseron,101,101
Leuchey,86,86
Leurville,84,84
Levécourt,88,88
Lezéville,125,125
Liffol-le-Petit,328,328
Les Loges,143,143
Longchamp,71,71
Longeau-Percey,762,762
Louvemont,711,711
Louvières,97,97
Luzy-sur-Marne,268,268
Maâtz,75,75
Magneux,169,169
Maisoncelles,59,59
Maizières,201,201
Maizières-sur-Amance,99,99
Malaincourt-sur-Meuse,58,58
Mandres-la-Côte,543,543
Manois,460,460
Marac,218,218
Maranville,414,414
Marbéville,100,100
Marcilly-en-Bassigny,222,222
Mardor,50,50
Mareilles,156,156
Marnay-sur-Marne,326,326
Mathons,67,67
Melay,264,264
Mennouveaux,71,71
Merrey,103,103
Mertrud,184,184
Meures,135,135
Millières,119,119
Mirbel,42,42
Moëslains,437,437
Montcharvot,34,34
Montheries,67,67
Montot-sur-Rognon,133,133
Montreuil-sur-Blaise,167,167
Montreuil-sur-Thonnance,62,62
Le Montsaugeonnais,1291,1291
Morancourt,136,136
Morionvilliers,29,29
Mouilleron,37,37
Mussey-sur-Marne,378,378
Narcy,252,252
Neuilly-l'Évêque,610,610
Neuilly-sur-Suize,320,320
Neuvelle-lès-Voisey,72,72
Ninville,84,84
Nogent,3815,3815
Noidant-Chatenoy,82,82
Noidant-le-Rocheux,164,164
Nomécourt,114,114
Noncourt-sur-le-Rongeant,178,178
Noyers,83,83
Nully,165,165
Occey,160,160
Orbigny-au-Mont,137,137
Orbigny-au-Val,103,103
Orcevaux,102,102
Orges,357,357
Ormancey,80,80
Ormoy-lès-Sexfontaines,44,44
Orquevaux,80,80
Osne-le-Val,263,263
Oudincourt,145,145
Outremécourt,96,96
Ozières,40,40
Le Pailly,289,289
Palaiseul,59,59
Pansey,100,100
Parnoy-en-Bassigny,307,307
Paroy-sur-Saulx,49,49
Peigney,378,378
Perrancey-les-Vieux-Moulins,300,300
Perrogney-les-Fontaines,114,114
Perrusse,33,33
Perthes,530,530
Pierremont-sur-Amance,143,143
Pisseloup,51,51
Planrupt,310,310
Plesnoy,117,117
Poinsenot,52,52
Poinson-lès-Fayl,231,231
Poinson-lès-Grancey,45,45
Poinson-lès-Nogent,146,146
Poiseul,72,72
Poissons,682,682
Pont-la-Ville,128,128
La Porte du Der,2343,2343
Poulangy,398,398
Praslay,75,75
Pressigny,205,205
Prez-sous-Lafauche,303,303
Rachecourt-sur-Marne,790,790
Rachecourt-Suzémont,107,107
Rangecourt,65,65
Rançonnières,107,107
Rennepont,141,141
Reynel,121,121
Riaucourt,482,482
Richebourg,279,279
Rimaucourt,679,679
Rives Dervoises,1424,1424
Rivière-les-Fosses,203,203
Rivières-le-Bois,73,73
Rizaucourt-Buchey,126,126
Rochefort-sur-la-Côte,65,65
Roches-Bettaincourt,583,583
Roches-sur-Marne,560,560
Rochetaillée,169,169
Rolampont,1508,1508
Romain-sur-Meuse,106,106
Rouécourt,50,50
Rouelles,25,25
Rougeux,112,112
Rouvres-sur-Aube,97,97
Rouvroy-sur-Marne,391,391
Rupt,344,344
Sailly,33,33
Saint-Blin,391,391
Saint-Broingt-le-Bois,73,73
Saint-Broingt-les-Fosses,236,236
Saint-Ciergues,191,191
Saint-Dizier,24570,24570
Saint-Loup-sur-Aujon,146,146
Saint-Martin-lès-Langres,115,115
Saint-Maurice,136,136
Saint-Thiébault,245,245
Saint-Urbain-Maconcourt,654,654
Saint-Vallier-sur-Marne,179,179
Saints-Geosmes,1162,1162
Sarcey,114,114
Sarrey,386,386
Saudron,47,47
Saulles,47,47
Saulxures,128,128
Savigny,61,61
Semilly,112,112
Semoutiers-Montsaon,784,784
Serqueux,426,426
Sexfontaines,133,133
Signéville,90,90
Silvarouvres,39,39
Sommancourt,69,69
Sommerécourt,82,82
Sommevoire,712,712
Soncourt-sur-Marne,379,379
Soulaucourt-sur-Mouzon,100,100
Soyers,63,63
Suzannecourt,384,384
Ternat,63,63
Thilleux,79,79
Thivet,272,272
Thol-lès-Millières,35,35
Thonnance-lès-Joinville,738,738
Thonnance-les-Moulins,119,119
Torcenay,566,566
Tornay,32,32
Treix,236,236
Trémilly,88,88
Troisfontaines-la-Ville,438,438
Vaillant,43,43
Le Val-d'Esnoms,400,400
Val-de-Meuse,1915,1915
Valcourt,630,630
Valleret,61,61
Valleroy,23,23
Vals-des-Tilles,168,168
Varennes-sur-Amance,273,273
Vaudrecourt,35,35
Vaudrémont,105,105
Vaux-sur-Blaise,383,383
Vaux-sur-Saint-Urbain,59,59
Vauxbons,60,60
Vecqueville,544,544
Velles,67,67
Verbiesles,342,342
Verseilles-le-Bas,106,106
Verseilles-le-Haut,49,49
Vesaignes-sous-Lafauche,129,129
Vesaignes-sur-Marne,106,106
Vesvres-sous-Chalancey,47,47
Vicq,157,157
Viéville,348,348
Vignes-la-Côte,68,68
Vignory,245,245
Villars-en-Azois,67,67
Villars-Santenoge,85,85
Ville-en-Blaisois,152,152
Villegusien-le-Lac,1019,1019
Villiers-en-Lieu,1562,1562
Villiers-le-Sec,722,722
Villiers-lès-Aprey,45,45
Villiers-sur-Suize,265,265
Violot,69,69
Vitry-en-Montagne,23,23
Vitry-lès-Nogent,190,190
Vivey,56,56
Voillecomte,542,542
Voisey,290,290
Voisines,103,103
