Nom de la commune,Populationtotal,Population_string
Bucy-le-Long,1922,1922
Bucy-lès-Cerny,206,206
Bucy-lès-Pierrepont,417,417
Buire,886,886
Buironfosse,1184,1184
Burelles,132,132
Bussiares,152,152
Buzancy,192,192
Caillouël-Crépigny,446,446
Camelin,461,461
La Capelle,1867,1867
Castres,249,249
Le Catelet,198,198
Caulaincourt,148,148
Caumont,564,564
Celles-lès-Condé,88,88
Celles-sur-Aisne,260,260
Cerizy,67,67
Cerny-en-Laonnois,64,64
Cerny-lès-Bucy,118,118
Cerseuil,90,90
Cessières-Suzy,783,783
Chacrise,368,368
Chaillevois,179,179
Chalandry,254,254
Chambry,860,860
Chamouille,286,286
Champs,283,283
Chaourse,550,550
La Chapelle-sur-Chézy,283,283
Charly-sur-Marne,2659,2659
Le Charmel,323,323
Charmes,1680,1680
Chartèves,361,361
Chassemy,895,895
Château-Thierry,15486,15486
Châtillon-lès-Sons,83,83
Châtillon-sur-Oise,130,130
Chaudardes,88,88
Chaudun,259,259
Chauny,12317,12317
Chavignon,842,842
Chavigny,154,154
Chavonne,208,208
Chérêt,144,144
Chermizy-Ailles,108,108
Chéry-Chartreuve,402,402
Chéry-lès-Pouilly,718,718
Chéry-lès-Rozoy,81,81
Chevennes,128,128
Chevregny,188,188
Chevresis-Monceau,360,360
Chézy-en-Orxois,419,419
Chézy-sur-Marne,1398,1398
Chierry,1124,1124
Chigny,153,153
Chivres-en-Laonnois,370,370
Chivres-Val,542,542
Chivy-lès-Étouvelles,515,515
Chouy,377,377
Cierges,67,67
Cilly,201,201
Ciry-Salsogne,939,939
Clacy-et-Thierret,321,321
Clairfontaine,638,638
Clamecy,230,230
Clastres,644,644
Clermont-les-Fermes,121,121
Coincy,1329,1329
Coingt,69,69
Colligis-Crandelain,251,251
Colonfay,81,81
Commenchon,217,217
Concevreux,283,283
Condé-en-Brie,695,695
Condé-sur-Aisne,366,366
Condé-sur-Suippe,288,288
Condren,718,718
Connigis,334,334
Contescourt,62,62
Corbeny,807,807
Corcy,310,310
Coucy-la-Ville,289,289
Coucy-le-Château-Auffrique,1031,1031
Coucy-lès-Eppes,636,636
