Nom de la commune,Populationtotal,Population_string,Premier_chiffre
Sonthonnax-la-Montagne,319,319,3
Souclin,279,279,2
Sulignat,598,598,5
Surjoux-Lhopital,134,134,1
Talissieu,460,460,4
Tenay,1047,1047,1
Thil,1113,1113,1
Thoiry,6215,6215,6
Thoissey,1756,1756,1
Torcieu,742,742,7
Tossiat,1398,1398,1
Toussieux,1111,1111,1
Tramoyes,1724,1724,1
La Tranclière,293,293,2
Trévoux,7009,7009,7
Val-Revermont,2654,2654,2
Valeins,131,131,1
Valromey-sur-Séran,1329,1329,1
Valserhône,16804,16804,1
Vandeins,700,700,7
Varambon,598,598,5
Vaux-en-Bugey,1254,1254,1
Verjon,297,297,2
Vernoux,331,331,3
Versailleux,447,447,4
Versonnex,2246,2246,2
Vesancy,495,495,4
Vescours,246,246,2
Vésines,103,103,1
Vieu-d'Izenave,724,724,7
Villars-les-Dombes,4884,4884,4
Villebois,1190,1190,1
Villemotier,678,678,6
Villeneuve,1537,1537,1
Villereversure,1339,1339,1
Villes,384,384,3
Villette-sur-Ain,767,767,7
Villieu-Loyes-Mollon,3717,3717,3
Viriat,6566,6566,6
Virieu-le-Grand,1106,1106,1
Virignin,1118,1118,1
Vongnes,72,72,7
Vonnas,3019,3019,3
Abbécourt,506,506,5
Achery,606,606,6
Acy,1035,1035,1
Agnicourt-et-Séchelles,185,185,1
Aguilcourt,392,392,3
Aisonville-et-Bernoville,264,264,2
Aizelles,126,126,1
Aizy-Jouy,295,295,2
Alaincourt,549,549,5
Allemant,181,181,1
Ambleny,1209,1209,1
Ambrief,70,70,7
Amifontaine,413,413,4
Amigny-Rouy,758,758,7
Ancienville,75,75,7
Andelain,237,237,2
Anguilcourt-le-Sart,319,319,3
Anizy-le-Grand,2584,2584,2
Annois,369,369,3
Any-Martin-Rieux,460,460,4
Archon,90,90,9
Arcy-Sainte-Restitue,409,409,4
Armentières-sur-Ourcq,106,106,1
Arrancy,53,53,5
Artemps,373,373,3
Assis-sur-Serre,230,230,2
Athies-sous-Laon,2663,2663,2
Attilly,375,375,3
Aubencheul-aux-Bois,273,273,2
Aubenton,663,663,6
Aubigny-aux-Kaisnes,257,257,2
Aubigny-en-Laonnois,107,107,1
Audignicourt,122,122,1
Audigny,287,287,2
Augy,83,83,8
Aulnois-sous-Laon,1453,1453,1
Les Autels,57,57,5
Autremencourt,172,172,1
Autreppes,182,182,1
Autreville,827,827,8
Azy-sur-Marne,391,391,3
Bagneux,70,70,7
Bancigny,26,26,2
Barenton-Bugny,563,563,5
Barenton-Cel,120,120,1
Barenton-sur-Serre,138,138,1
Barisis-aux-Bois,752,752,7
Barzy-en-Thiérache,332,332,3
Barzy-sur-Marne,390,390,3
Bassoles-Aulers,145,145,1
Bazoches-sur-Vesles,464,464,4
Beaumé,94,94,9
Beaumont-en-Beine,178,178,1
Beaurevoir,1443,1443,1
Beaurieux,854,854,8
Beautor,2727,2727,2
